Nome ITA,Tipologia ITA,Nome latino,Scopritore,Descrizione ITA,Areale di distribuzione,Area protetta raggruppamento cc biodiversita,Livello di Conservazione,Specie bandiera,Regione,Nome ENG,Tipologia ENG,Descrizione ENG,Livello di Conservazione ENG
Aquila Reale,Uccelli,Aquila chrysaetos,Linnaeus,"Rapace che raggiunge una lunghezza di 66-100 cm e apertura alare di 180-220 cm. Il peso varia dai 2,9 kg, ai 6,6 kg e la femmina è del 20% circa più grande del maschio. La parte superiore è del corpo è coperta da piumaggio di color bruno-castano, e la parte inferiore è di color castano scuro; la testa invece è di color castano dorato.",Catena Alpina e appenninica,R. N. Biogenetica Piano degli ONTANI,Quasi minacciata (NT),si,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Piemonte,Val d'Aosta",Golden eagle,Birds,"A raptor that reaches a length of 66-100 cm and a wingspan of 180-220 cm. The weight varies from 2.9 kg to 6.6 kg, and the female is about 20% larger than the male. The upper part of the body is covered in chestnut-brown feathers, and the lower part is dark brown; the head is golden brown.",Near threatened (NT)
Lupo italico,Mammiferi,Canis lupus italicus,Altobello,"Il lupo della popolazione italiana ha un peso compreso in media tra i 25 e i 45 kg. La lunghezza di un esemplare adulto è di circa 110-115 cm, e la coda che misura 30-35 cm. L’altezza al garrese è compresa tra i 50 e 70 cm. La colorazione è variabile dai toni beige-rossicci in estate a quelli marroni-grigiastri con sfumature nere del manto invernale.Il lupo italiano ha due bande nere sugli arti anteriori.",Catena Alpina e appenninica,Riserva Naturale Gariglione Pisarello,Vulnerabile (VU),si,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Piemonte,Val d'Aosta",Italic wolf,Mammals,"The average weight of the wolf in the Italian population is between 25 and 45 kg. The length of an adult specimen is approximately 110-115 cm, with the tail measuring 30-35 cm. The height from the shoulders is between 50 and 70 cm. Colouring varies from beige-reddish tones in summer to brown-greyish ones with black tones in winter. The Italian wolf has two black bands on its front limbs.",Vulnerable (VU)
Cervo della Mesola,Mammiferi,Cervus elaphus italicus,Zachos et al.,"I maschi adulti pesano mediamente 110 kg e le femmine adulte 80 kg. Le misure lineari principali (lunghezza testa-tronco, altezza al garrese, circonferenza toracica e lunghezza del garretto) risultano dell’8-15% inferiori rispetto ad altre popolazioni europee.I palchi  possiedono dimensioni decisamente più modeste e un piano di costruzione semplificato rispetto alla struttura tipica della specie.",Emilia Romagna,Riserva Naturale Bosco della Mesola,Minor preoccupazione (LC),si,Emilia-Romagna,Mesola Deer,Mammals,"Adult males weigh on average 110 kg and adult females 80 kg. The main linear measurements (head-torso length, height from the shoulders, chest circumference and hock length) are 8-15% smaller than in other European populations. The antlers have a much more modest size and a simplified build compared to the typical physical structure of the species.",Least concern (LC)
Fratino,Uccelli,Charadrius alexandrinus,Linnaeus,"La colorazione grigio-brunastra sul dorso e bianca sul ventre, più accesa e contrastata nei maschi durante il periodo riproduttivo, rendono la specie particolarmente mimetica sulla sabbia. I maschi si distinguono per il colore del capo che tende al rosso fulvo con una macchia nera sulla fronte. Una striscia nera su fondo bianco va dal becco verso gli occhi. Le zampe da trampoliere sono lunghe ed esili in proporzione al corpo.",Ovunque,Riserva Naturale Orientata Sacca di Bellocchio II,In pericolo (EN),si,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Sicilia,Sardegna,Piemonte,Liguria,Puglia,Val d'Aosta",Kentish plover,Birds,"The brownish-grey colouration on the back and white on the belly, which is brighter and more contrasting in males during the breeding season, make the species particularly camouflaged on the sand. Males are distinguished by the colour of their head, which tends to be tawny red with a black spot on the forehead. A black stripe on a white background runs from the beak towards the eyes. The stilted legs are long and slender in proportion to the body.",Endangered (EN)
Lince,Mammiferi,Linx linx,Linnaeus,"Ha un peso che si aggira tra i 18 ai 26 kg e casi eccezionali di 40 kg. L'altezza  si aggira tra i  50-60 cm, ed è lunga circa 90-130 cm. La coda è corta, circa 20 cm con punta di colore nero. Il colore del mantello è variabile da grigio scuro uniforme ad  bruno rossiccio o giallo scuro, con macchie nere.  Le estremità delle orecchie presentano due caratteristici ciuffi di peli neri.",Alpi orientali,Foresta Demaniale di Tarvisio,Minor preoccupazione (LC),si,"Trentino,Veneto,Friuli-Venezia Giulia",Lynx,Mammals,"Weighing between 18 and 26 kg, and in exceptional cases 40 kg. Its height is between 50-60 cm, and it is about 90-130 cm long. The tail is short, about 20 cm with a black tip. The coat colour varies from uniform dark grey to reddish brown or dark yellow, with black spots. The tips of the ears have two characteristic tufts of black hair.",Least concern (LC)
Cerambice del faggio,Insetti e crostacei,Rosalia alpina,Linnaeus,"Corpo medio-grande con lunghezza di circa 40 mm.  Presenta un colore azzurro-celeste, con un disegno a macchie nere vellutate sul protorace e sulle elitre. Le antenne sono molto lunghe e anch'esse azzurre con folte setole nere all'apice di ogni segmento antenale.","Lazio, Abruzzo, Toscana, Emilia, Veneto",R.N. Biogenetica Bosco Fontana,Quasi minacciata (NT),si,"Lazio,Abruzzo,Toscana,Emilia-Romagna,Veneto",Beech cerambix,Insects and crustaceans,"Medium-large body with a length of about 40 mm. It is light blue in colour, with a velvety black spotted pattern on the prothorax and elytra. The antennae are very long and also blue with thick black bristles at the apex of each antenna segment.",Near threatened (NT)
Orso bruno marsicano,Mammiferi,Ursus arctos marsicanus,Altobello,"Sottospecie dell'orso bruno, presenta una corporatura tozza e tarchiata, più slanciata rispetto a quella  delle altre sottospecie. I maschi sono più grandi delle femmine e possono superare i 230 kg, mentre e le femmine raramente superano i 140 kg. Il pelo è bruno-fulvo uniforme su tutto il corpo, con tendenza all'inscurimento sulla parte distale degli arti. La coda è ridotta a un moncherino di meno di 10 cm.","Lazio, Abruzzo, Toscana, Molise",Riserva Naturale  Integrale Feudo Intramonti,In pericolo critico (CR),si,"Lazio,Abruzzo,Toscana,Molise",Marsican Brown Bear,Mammals,"A subspecies of the brown bear, with a stocky and stumpy build, more slender than that of the other subspecies. Males are larger than females and can exceed 230 kg, while females rarely exceed 140 kg. The fur is uniformly light brown over the whole body, with a tendency to darken on the distal part of the limbs. The tail is reduced to a stump less than 10 cm long.",Critically endangered (CR)
Vipera orsini,Anfibi e rettili,Vipera ursinii,Bonaparte,"È caratterizzata da un corpo tozzo e da una testa stretta e puo raggiungere 50 cm di lunghezza. Ha una colorazione grigio-crema o rossastra, con un'elegante striscia a zig-zag bruna o nera sul dorso.",Abruzzo,Riserva Naturale Orientata Monte Velino,In pericolo (EN),si,Abruzzo,Orsini viper,Amphibia and reptiles,"Characterised by a stocky body and a narrow head and can reach 50 cm in length. It has a creamy grey or reddish colouring, with an elegant brown or black zig-zag stripe on its back.",Endangered (EN)
Gufo reale,Uccelli,Bubo bubo,Linnaeus,"È il più grande strigiforme europeo con un’apertura alare da 1,60 fino a oltre 2 m. Le femmine, più grandi dei maschi, pesano fino a 4 kg.",Ovunque tranne in Sicilia,Riserva Naturale Antropologica Monte Croccia,Quasi minacciata (NT),no,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Sardegna,Piemonte,Liguria,Puglia,Val d'Aosta",Eagle owl,Birds,"The largest European strigiform with a wingspan of 1.60 to over 2 mt. Females, larger than males, weigh up to 4 kg.",Near threatened (NT)
Tartaruga marina comune,Anfibi e rettili,Caretta caretta,Linnaeus,"Il carapace è di colore marrone-rossiccio e negli esemplari giovani è presente una carenatura dorsale dentellata La lunghezza di un esemplare adulto è di 80-140 cm, con peso variabile tra i 100 ed i 160 kg.","Basilicata , Puglia,Calabria, Sicilia, Sardegna",Riserva Naturale Metaponto,In pericolo (EN),no,"Basilicata,Puglia,Calabria,Sicilia,Sardegna",Sea Turtle,Amphibia and reptiles,"The carapace is reddish-brown in colour and in young specimens there is a serrated dorsal fairing. The length of an adult specimen is 80-140 cm, weighing between 100 and 160 kg.",Endangered (EN)
Raganella italiana,Anfibi e rettili,Hyla intermedia,Boulenger,"Raganella di colore verde brillante dorsalmente e grigiastro ventralmente con una striscia nera laterale che parte dalle narici e raggiunge le zampe posteriori. La lunghezza varia dai 3 ai 5 cm, per un peso di circa 6 g.",Ovunque,Riserva Naturale Biogenetica Serra Nicolino -Piano dell'albero,Minor preoccupazione (LC),no,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Sicilia,Sardegna,Piemonte,Liguria,Puglia,Val d'Aosta",Italic tree frog,Amphibia and reptiles,"Bright green dorsally and greyish ventrally with a black lateral stripe from the nostrils to the hind legs. Length varies from 3 to 5 cm, weighing approximately 6 g.",Least concern (LC)
Geotritone italiano,Anfibi e rettili,Speleomantes italicus,Dunn,Anfibio urodelo notturno con una colorazione mimetica marroncina e con alcune macchie gialle. Non ha i polmoni o le branchie ma respira attraverso la pelle che deve essere tenuta costantemente umida. Le zampe sono parzialmente palmate e le dita hanno terminazioni a ventosa. La lunghezza media di un esemplare adulto si aggira intorno agli 8-9 cm.,Ovunque  con concentrazione in Sardegna,Riserva Statale Orrido di Botri,Minor preoccupazione (LC),no,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Sicilia,Sardegna,Piemonte,Liguria,Puglia,Val d'Aosta",Italian geotritone,Amphibia and reptiles,"A nocturnal salamander with a brownish camouflage colouration and some yellow spots. It has no lungs or gills but breathes through its skin, which must be kept constantly moist. The legs are partially webbed and the fingers have sucker-like tips. The average length of an adult specimen is around 8-9 cm.",Least concern (LC)
Testuggine di Hermann,Anfibi e rettili,Testudo hermanni,Gmelin,"La colorazione del carapace è di un giallo intenso e macchie nere ben visibili. Il piastrone ventrale ha una colorazione con bande nere verticali molto spesse. La lunghezza del corpo è compresa tra 15 e 20 cm, con un peso che varia tra i 400 e 1.000 g, ma può raggiungere dimensioni anche maggiori.","Abruzzo, Basilicata, Calabria, Campania, Lazio, Liguria, Molise, Puglia, Sardegna, Sicilia, Toscana e Umbria",Riserva Naturale Integrale Montecristo,In pericolo (EN),no,"Abruzzo,Basilicata,Calabria,Campania,Lazio,Liguria,Molise,Puglia,Sardegna,Sicilia,Toscana,Umbria",Hermann's tortoise,Amphibia and reptiles,"The colouration of the carapace is an intense yellow with clearly visible black spots. The ventral plate is coloured with very thick vertical black bands. The body length is between 15 and 20 cm, with a weight of between 400 and 1,000 g, but it can reach even larger sizes.",Endangered (EN)
Gambero di fiume,Insetti e crostacei,Austropotamobius pallipes,Lereboullet,"Gambero dalla colorazione del corpo variabile, da marrone uniforme, a bronzeo o grigio-verde. La parte ventrale e gli arti sono biancastri. Il maschio adulto può raggiungere i 13 cm mentre le femmine sono più piccole con le chele più corte. Il peso di un adulto maschio può arrivare fino a 90 g, mentre le femmine pesano meno, circa 70-80 g.",Friuli Toscana Abruzzo,Riserva Naturale Badia Prataglia,In pericolo (EN),no,"Friuli-Venezia Giulia,Toscana,Abruzzo",River shrimp,Insects and crustaceans,"Crayfish with a variable body colouration, ranging from uniform brown to bronze or grey-green. The ventral part and limbs are whitish. The adult male can reach up to 13 cm while the females are smaller with shorter claws. The weight of an adult male can reach up to 90 g, while females weigh less, around 70-80 g.",Endangered (EN)
Bramea del Vulture,Insetti e crostacei,Acanthobrahmaea europea,Hartig,"Grande farfalla notturna dalle diverse sfumature di marrone e con le caratteristiche venature radiali delle sue ali. L'apertura alare è di circa 60-65 mm nel maschio, 65-75 mm nella femmina. I bruchi al quarto stadio di sviluppo hanno lunghi processi allungati nella parte anteriore del corpo.",Potenza,Riserva Naturale Orientata Grotticella,In pericolo (EN),no,Basilicata,Volture Cravea,Insects and crustaceans,"Large nocturnal butterfly with different shades of brown and characteristic radial veins on its wings. The wingspan is around 60-65 mm in the male, 65-75 mm in the female. Caterpillars at the fourth stage of development have an extendend development processes centered at the front of the body.",Endangered (EN)
Cervo volante,Insetti e crostacei,Lucanus cervus,Linnaeus,"Coleottero la cui colorazione del corpo varia da nero a bruno-rossastro. Il dimorfismo sessuale è molto accentuato, il maschio ha mandibole modificate che ricordano il palco dei cervi,  dalle quali il nome. Con una lunghezza che varia dai 25 a 85 mm è sicuramente uno dei più grossi coleotteri esistenti in Europa. La larva è bianca, e vive nel legno morto a terra e raggiunge la maturità in 3-4 anni.",Toscana,Riserva Naturale Orientata Vincheto di Celarda,Minor preoccupazione (LC),no,Toscana,Stag beetle,Insects and crustaceans,"Beetle whose body colour varies from black to reddish-brown. Sexual dimorphism is very pronounced, the male having modified mandibles reminiscent of the deer antler, hence the name. With a length ranging from 25 to 85 mm, it is certainly one of the largest beetles in Europe. The larva is white, and lives in dead wood on the ground and reaches maturity in 3-4 years.",Least concern (LC)
Scarabeo eremita odoroso,Insetti e crostacei,Osmoderma eremita,Scopoli,"Coleottero di dimensioni relativamente grandi (24-30 mm). Da adulto è completamente color nero-bronzato metallico o meglio color cuoio lucido, con corpo tozzo, antenne piccole e clavate. Il maschio emette un feromone dal profumo di frutta per attirare le femmine. Le larve sono bianche con capo e zampe di color arancio.",Regioni del centro-nord fino all’Abruzzo e Lazio,Riserva Naturale Quarto Santa Chiara,Vulnerabile (VU),no,"Lombardia,Piemonte,Val d'Aosta,Liguria,Emilia-Romagna,Veneto,Trentino,Friuli-Venezia Giulia,Toscana,Umbria,Marche,Abruzzo,Lazio",Smelly hermit beetle,Insects and crustaceans,"Relatively large beetle (24-30 mm). As an adult it is completely metallic-bronze-black or rather shiny leather-coloured, with a short body and small, curved antennae. The male emits a fruit-scented pheromone to attract females. Larvae are white with orange head and legs.",Vulnerable (VU)
Barbastello,Mammiferi,Barbastella barbastellus,Schreber,"Chirottero di medie dimensioni, lungo circa 5-6 cm (coda esclusa), con un apertura alare di 25-30 cm. Le ali sono lunghe e strette, tipiche di un buon volatore. Specie forestale, con lungo mantello nerastro e orecchie corte triangolari che si uniscono sulla fronte con un’evidente piega cutanea. La testa è piccola, il muso corto e l’apertura alare di 24-30 c.",Ovunque,Foresta Demaniale di Val di Canneto,Minor preoccupazione (LC),no,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Sicilia,Sardegna,Piemonte,Liguria,Puglia,Val d'Aosta",Barbastello,Mammals,"A medium-sized chiropteran, about 5-6 cm long (excluding tail), with a wingspan of 25-30 cm. The wings are long and narrow, typical of a good flyer. A forest species, with a long blackish coat and short triangular ears that join at the forehead with an evident skin fold. The head is small, the muzzle short and the wingspan 24-30 c.",Least concern (LC)
Stambecco,Mammiferi,Capra ibex,Linnaeus,"Animale gregario erbivoro di grosse dimensioni con pelo marrone e lunghe e grosse corna ricurve. Il peso degli animali adulti varia fra i 65 ed i 130 kg, un'altezza al garrese di 85-92 cm ed una lunghezza sterno-coccigea di 130-160 cm.",Arco Alpino,Riserva Naturale Cucco,Minor preoccupazione (LC),no,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Piemonte",Ibex,Mammals,"A large herbivorous gregarious animal with brown fur and long, large curved horns. Adult animals weigh between 65 and 130 kg, have a height from the shoulders of 85-92 cm and a sternum length of 130-160 cm.",Least concern (LC)
